year,month,day,carrier,origin,dest,departure_delay,arrival_delay,delay_change_minutes
2013,1,9,HA,JFK,HNL,1301.0,1272.0,-29.0
2013,6,15,MQ,JFK,CMH,1137.0,1127.0,-10.0
2013,1,10,MQ,EWR,ORD,1126.0,1109.0,-17.0
2013,9,20,AA,JFK,SFO,1014.0,1007.0,-7.0
2013,7,22,MQ,JFK,CVG,1005.0,989.0,-16.0
2013,4,10,DL,JFK,TPA,960.0,931.0,-29.0
2013,3,17,DL,LGA,MSP,911.0,915.0,4.0
2013,7,22,DL,LGA,ATL,898.0,895.0,-3.0
2013,12,5,AA,EWR,MIA,896.0,878.0,-18.0
2013,5,3,MQ,EWR,ORD,878.0,875.0,-3.0
2013,12,14,DL,JFK,TPA,825.0,856.0,31.0
2013,5,19,AA,JFK,LAS,853.0,852.0,-1.0
2013,1,1,MQ,JFK,BWI,853.0,851.0,-2.0
2013,6,27,DL,JFK,PDX,899.0,850.0,-49.0
2013,12,19,DL,EWR,SLC,849.0,847.0,-2.0
2013,12,17,AA,EWR,MIA,845.0,846.0,1.0
2013,2,10,F9,LGA,DEN,853.0,834.0,-19.0
2013,4,19,DL,LGA,TPA,812.0,821.0,9.0
2013,6,27,AA,LGA,STL,803.0,802.0,-1.0
2013,11,3,DL,EWR,ATL,798.0,796.0,-2.0
2013,3,18,DL,JFK,LAX,800.0,784.0,-16.0
2013,4,19,AA,JFK,LAS,797.0,783.0,-14.0
2013,4,19,AA,JFK,IAH,761.0,783.0,22.0
2013,6,27,DL,LGA,MSY,787.0,780.0,-7.0
2013,2,24,DL,EWR,ATL,786.0,773.0,-13.0
2013,6,27,DL,JFK,SAN,790.0,769.0,-21.0
2013,2,19,DL,LGA,MSP,788.0,767.0,-21.0
2013,2,16,9E,JFK,CLT,747.0,744.0,-3.0
2013,4,19,DL,LGA,MCO,753.0,744.0,-9.0
2013,10,14,DL,EWR,ATL,702.0,688.0,-14.0
2013,12,1,DL,JFK,SAT,687.0,681.0,-6.0
2013,7,7,VX,JFK,SFO,629.0,676.0,47.0
2013,9,2,DL,LGA,DTW,696.0,674.0,-22.0
2013,12,15,AA,LGA,MIA,660.0,648.0,-12.0
2013,7,21,AA,EWR,MIA,580.0,645.0,65.0
2013,7,7,VX,EWR,SFO,653.0,632.0,-21.0
2013,4,10,DL,LGA,MCO,639.0,616.0,-23.0
2013,11,24,AA,JFK,MIA,636.0,614.0,-22.0
2013,1,13,DL,JFK,ATL,599.0,612.0,13.0
2013,6,5,AA,LGA,DFW,613.0,598.0,-15.0
2013,2,13,DL,EWR,ATL,592.0,595.0,3.0
2013,7,27,EV,JFK,IAD,536.0,577.0,41.0
2013,9,12,FL,LGA,ATL,602.0,572.0,-30.0
2013,9,12,DL,LGA,MSP,593.0,571.0,-22.0
2013,7,6,DL,JFK,SFO,589.0,561.0,-28.0
2013,4,4,DL,EWR,ATL,545.0,560.0,15.0
2013,7,10,FL,LGA,ATL,576.0,551.0,-25.0
2013,12,5,EV,EWR,STL,548.0,538.0,-10.0
2013,4,10,DL,LGA,MIA,510.0,516.0,6.0
2013,3,18,EV,EWR,CLT,443.0,506.0,63.0
